CustomerID,Cluster
C0001,1
C0002,8
C0003,1
C0004,2
C0005,4
C0006,7
C0007,4
C0008,9
C0009,3
C0010,6
C0011,7
C0012,2
C0013,2
C0014,3
C0015,9
C0016,9
C0017,0
C0018,9
C0019,3
C0020,4
C0021,5
C0022,5
C0023,0
C0024,9
C0025,1
C0026,9
C0027,5
C0028,5
C0029,6
C0030,6
C0031,1
C0032,1
C0033,6
C0034,6
C0035,9
C0036,9
C0037,0
C0038,9
C0039,2
C0040,5
C0041,0
C0042,6
C0043,8
C0044,3
C0045,5
C0046,9
C0047,9
C0048,1
C0049,9
C0050,4
C0051,0
C0052,1
C0053,0
C0054,5
C0055,9
C0056,5
C0057,0
C0058,6
C0059,0
C0060,3
C0061,3
C0062,3
C0063,7
C0064,3
C0065,0
C0066,4
C0067,9
C0068,9
C0069,3
C0070,7
C0071,7
C0072,9
C0073,3
C0074,3
C0075,0
C0076,1
C0077,6
C0078,7
C0079,9
C0080,8
C0081,3
C0082,2
C0083,6
C0084,5
C0085,1
C0086,3
C0087,2
C0088,5
C0089,3
C0090,5
C0091,2
C0092,5
C0093,5
C0094,9
C0095,1
C0096,2
C0097,8
C0098,9
C0099,2
C0100,0
C0101,5
C0102,2
C0103,3
C0104,2
C0105,0
C0106,5
C0107,1
C0108,2
C0109,0
C0110,8
C0111,3
C0112,4
C0113,2
C0114,0
C0115,4
C0116,9
C0117,9
C0118,1
C0119,3
C0120,4
C0121,3
C0122,9
C0123,8
C0124,0
C0125,9
C0126,7
C0127,3
C0128,8
C0129,1
C0130,4
C0131,9
C0132,3
C0133,1
C0134,5
C0135,3
C0136,5
C0137,7
C0138,5
C0139,9
C0140,8
C0141,0
C0142,7
C0143,5
C0144,6
C0145,5
C0146,8
C0147,1
C0148,2
C0149,0
C0150,6
C0151,1
C0152,1
C0153,7
C0154,9
C0155,2
C0156,0
C0157,9
C0158,1
C0159,8
C0160,9
C0161,5
C0162,5
C0163,2
C0164,3
C0165,2
C0166,3
C0167,3
C0168,2
C0169,2
C0170,0
C0171,7
C0172,3
C0173,5
C0174,7
C0175,5
C0176,6
C0177,8
C0178,8
C0179,3
C0181,1
C0182,0
C0183,9
C0184,1
C0185,9
C0186,4
C0187,1
C0188,2
C0189,9
C0190,1
C0191,7
C0192,1
C0193,7
C0194,9
C0195,1
C0196,0
C0197,3
C0198,3
C0199,3
C0200,5
